ID,ESTACAO_IDA,ESTACAO_CHEGADA,DATA_VIAGEM,HORARIO_SAIDA,HORARIO_CHEGADA,TEMPO_ESPERADO_DA_VIAGEM,ATRASO,QTD_PASSAGEIROS,PCT_PRIMEIRA_CLASSE,PCT_COMPRAS_ANTECIPADAS,PRECO_MEDIO,PCT_PEDIDOS_REEMBOLSO,MOTIVO_ATRASO
1,Birmingham New Street,London Euston,2024-01-08,08:00:00,09:20:00,80,31,1,0.0,100.0,21.0,0.0,Weather
2,Birmingham New Street,London Euston,2024-01-13,08:00:00,09:20:00,80,54,2,0.0,50.0,26.0,0.0,Weather
3,Birmingham New Street,London Euston,2024-01-14,08:00:00,09:20:00,80,36,1,0.0,0.0,31.0,0.0,Weather
4,Birmingham New Street,London Euston,2024-01-14,15:30:00,16:50:00,80,6,1,100.0,0.0,82.0,100.0,Staffing
5,Birmingham New Street,London Euston,2024-01-19,08:00:00,09:20:00,80,36,1,0.0,100.0,21.0,0.0,Weather
6,Birmingham New Street,London Euston,2024-01-21,15:30:00,16:50:00,80,24,1,0.0,0.0,31.0,100.0,Staffing
7,Birmingham New Street,London Euston,2024-01-22,08:00:00,09:20:00,80,37,1,0.0,100.0,21.0,0.0,Weather
8,Birmingham New Street,London Euston,2024-01-24,08:00:00,09:20:00,80,40,1,0.0,100.0,21.0,0.0,Weather
9,Birmingham New Street,London Euston,2024-01-27,08:00:00,09:20:00,80,30,1,0.0,0.0,31.0,0.0,Weather
10,Birmingham New Street,London Euston,2024-01-30,08:00:00,09:20:00,80,27,1,0.0,100.0,21.0,0.0,Weather
11,Birmingham New Street,London Euston,2024-01-30,15:30:00,16:50:00,80,7,1,0.0,0.0,31.0,100.0,Staffing
12,Birmingham New Street,London Euston,2024-02-02,08:00:00,09:20:00,80,20,1,0.0,100.0,21.0,0.0,Weather
13,Birmingham New Street,London Euston,2024-02-03,08:00:00,09:20:00,80,42,1,0.0,100.0,21.0,0.0,Weather
14,Birmingham New Street,London Euston,2024-02-08,08:00:00,09:20:00,80,36,1,0.0,0.0,41.0,0.0,Weather
15,Birmingham New Street,London Euston,2024-02-09,08:00:00,09:20:00,80,56,1,0.0,0.0,41.0,0.0,Weather
16,Birmingham New Street,London Euston,2024-02-10,08:00:00,09:20:00,80,15,1,0.0,100.0,21.0,0.0,Weather
17,Birmingham New Street,London Euston,2024-02-11,15:30:00,16:50:00,80,26,1,0.0,100.0,21.0,100.0,Staffing
18,Birmingham New Street,London Euston,2024-02-15,08:00:00,09:20:00,80,40,1,0.0,0.0,41.0,0.0,Weather
20,Birmingham New Street,London Euston,2024-02-25,08:00:00,09:20:00,80,32,1,0.0,100.0,21.0,0.0,Weather
21,Birmingham New Street,London Euston,2024-02-26,15:30:00,16:50:00,80,7,1,0.0,100.0,21.0,100.0,Staffing
22,Birmingham New Street,London Euston,2024-02-27,08:00:00,09:20:00,80,36,1,100.0,100.0,55.0,0.0,Weather
23,Birmingham New Street,London Euston,2024-03-04,08:00:00,09:20:00,80,44,1,0.0,100.0,21.0,0.0,Weather
24,Birmingham New Street,London Euston,2024-03-04,15:30:00,16:50:00,80,6,1,100.0,0.0,82.0,100.0,Staffing
25,Birmingham New Street,London Euston,2024-03-12,15:30:00,16:50:00,80,27,1,0.0,0.0,31.0,100.0,Staffing
26,Birmingham New Street,London Euston,2024-03-23,15:30:00,16:50:00,80,1,1,0.0,0.0,31.0,100.0,Staffing
27,Birmingham New Street,London Euston,2024-03-26,08:00:00,09:20:00,80,34,1,0.0,0.0,41.0,0.0,Weather
28,Birmingham New Street,London Euston,2024-03-27,08:00:00,09:20:00,80,48,2,0.0,0.0,41.0,0.0,Weather
29,Birmingham New Street,London Euston,2024-03-30,08:00:00,09:20:00,80,54,1,0.0,0.0,31.0,0.0,Weather
30,Birmingham New Street,London Euston,2024-04-01,08:00:00,09:20:00,80,38,1,0.0,100.0,21.0,0.0,Weather
31,Birmingham New Street,London Euston,2024-04-09,08:00:00,09:20:00,80,43,1,100.0,100.0,55.0,0.0,Weather
32,Birmingham New Street,London Euston,2024-04-12,08:00:00,09:20:00,80,52,1,0.0,0.0,41.0,0.0,Weather
33,Birmingham New Street,London Euston,2024-04-13,15:30:00,16:50:00,80,8,1,0.0,100.0,21.0,100.0,Staffing
34,Birmingham New Street,London Euston,2024-04-15,15:30:00,16:50:00,80,14,1,0.0,0.0,31.0,100.0,Staffing
35,Birmingham New Street,London Euston,2024-04-16,08:00:00,09:20:00,80,18,1,0.0,100.0,21.0,0.0,Weather
36,Birmingham New Street,London Euston,2024-04-17,08:00:00,09:20:00,80,38,1,0.0,100.0,21.0,0.0,Weather
37,Birmingham New Street,London Euston,2024-04-20,08:00:00,09:20:00,80,54,3,33.3,66.7,35.7,0.0,Weather
38,Birmingham New Street,London Euston,2024-04-22,15:30:00,16:50:00,80,5,1,0.0,0.0,31.0,100.0,Staffing
39,Birmingham New Street,London Euston,2024-04-24,15:30:00,16:50:00,80,14,1,0.0,100.0,21.0,100.0,Staffing
40,Birmingham New Street,London Euston,2024-04-28,08:00:00,09:20:00,80,25,1,0.0,0.0,31.0,0.0,Weather
41,Birmingham New Street,Manchester Piccadilly,2024-01-01,11:15:00,12:35:00,80,31,1,0.0,100.0,7.0,100.0,Technical Issue
42,Birmingham New Street,Manchester Piccadilly,2024-01-05,11:15:00,12:35:00,80,45,4,0.0,75.0,8.0,100.0,Technical Issue
43,Birmingham New Street,Manchester Piccadilly,2024-01-06,11:15:00,12:35:00,80,37,3,0.0,66.7,8.3,100.0,Technical Issue
44,Birmingham New Street,Manchester Piccadilly,2024-01-09,11:15:00,12:35:00,80,19,1,100.0,0.0,29.0,100.0,Technical Issue
45,Birmingham New Street,Manchester Piccadilly,2024-01-12,11:15:00,12:35:00,80,26,1,0.0,0.0,11.0,100.0,Technical Issue
46,Birmingham New Street,Manchester Piccadilly,2024-01-13,11:15:00,12:35:00,80,38,3,0.0,33.3,9.7,100.0,Technical Issue
47,Birmingham New Street,Manchester Piccadilly,2024-01-14,11:15:00,12:35:00,80,8,1,0.0,0.0,11.0,100.0,Technical Issue
48,Birmingham New Street,Manchester Piccadilly,2024-01-15,11:15:00,12:35:00,80,4,1,0.0,100.0,7.0,100.0,Technical Issue
49,Birmingham New Street,Manchester Piccadilly,2024-01-17,11:15:00,12:35:00,80,24,1,0.0,0.0,11.0,100.0,Technical Issue
50,Birmingham New Street,Manchester Piccadilly,2024-01-22,11:15:00,12:35:00,80,2,1,0.0,100.0,7.0,100.0,Technical Issue
51,Birmingham New Street,Manchester Piccadilly,2024-01-25,11:15:00,12:35:00,80,2,1,0.0,0.0,11.0,100.0,Technical Issue
52,Birmingham New Street,Manchester Piccadilly,2024-01-26,11:15:00,12:35:00,80,45,1,0.0,0.0,11.0,100.0,Technical Issue
53,Birmingham New Street,Manchester Piccadilly,2024-01-28,11:15:00,12:35:00,80,14,1,100.0,100.0,19.0,100.0,Technical Issue
54,Birmingham New Street,Manchester Piccadilly,2024-01-29,11:15:00,12:35:00,80,4,1,0.0,0.0,11.0,100.0,Technical Issue
55,Birmingham New Street,Manchester Piccadilly,2024-01-31,11:15:00,12:35:00,80,18,1,100.0,0.0,29.0,100.0,Technical Issue
56,Birmingham New Street,Manchester Piccadilly,2024-02-02,11:15:00,12:35:00,80,37,2,0.0,100.0,7.0,100.0,Technical Issue
57,Birmingham New Street,Manchester Piccadilly,2024-02-03,11:15:00,12:35:00,80,18,1,0.0,0.0,11.0,100.0,Technical Issue
58,Birmingham New Street,Manchester Piccadilly,2024-02-04,11:15:00,12:35:00,80,44,1,0.0,100.0,7.0,100.0,Technical Issue
59,Birmingham New Street,Manchester Piccadilly,2024-02-06,11:15:00,12:35:00,80,1,1,0.0,0.0,11.0,100.0,Technical Issue
60,Birmingham New Street,Manchester Piccadilly,2024-02-07,11:15:00,12:35:00,80,42,1,0.0,100.0,7.0,100.0,Technical Issue
61,Birmingham New Street,Manchester Piccadilly,2024-02-09,11:15:00,12:35:00,80,7,1,0.0,0.0,11.0,100.0,Technical Issue
62,Birmingham New Street,Manchester Piccadilly,2024-02-10,11:15:00,12:35:00,80,1,1,0.0,100.0,7.0,100.0,Technical Issue
63,Birmingham New Street,Manchester Piccadilly,2024-02-11,11:15:00,12:35:00,80,42,3,0.0,66.7,8.3,100.0,Technical Issue
64,Birmingham New Street,Manchester Piccadilly,2024-02-13,11:15:00,12:35:00,80,8,1,0.0,0.0,11.0,100.0,Technical Issue
65,Birmingham New Street,Manchester Piccadilly,2024-02-14,11:15:00,12:35:00,80,34,2,0.0,50.0,9.0,100.0,Technical Issue
66,Birmingham New Street,Manchester Piccadilly,2024-02-15,11:15:00,12:35:00,80,3,1,0.0,100.0,7.0,100.0,Technical Issue
67,Birmingham New Street,Manchester Piccadilly,2024-02-16,11:15:00,12:35:00,80,21,1,0.0,100.0,7.0,100.0,Technical Issue
68,Birmingham New Street,Manchester Piccadilly,2024-02-18,11:15:00,12:35:00,80,19,1,0.0,0.0,11.0,100.0,Technical Issue
69,Birmingham New Street,Manchester Piccadilly,2024-02-19,11:15:00,12:35:00,80,4,1,0.0,100.0,7.0,100.0,Technical Issue
70,Birmingham New Street,Manchester Piccadilly,2024-02-21,11:15:00,12:35:00,80,29,1,100.0,100.0,19.0,100.0,Technical Issue
71,Birmingham New Street,Manchester Piccadilly,2024-02-22,11:15:00,12:35:00,80,29,1,0.0,100.0,7.0,100.0,Technical Issue
72,Birmingham New Street,Manchester Piccadilly,2024-02-23,11:15:00,12:35:00,80,5,1,0.0,0.0,11.0,100.0,Technical Issue
73,Birmingham New Street,Manchester Piccadilly,2024-02-26,11:15:00,12:35:00,80,41,1,0.0,100.0,7.0,100.0,Technical Issue
75,Birmingham New Street,Manchester Piccadilly,2024-02-28,11:15:00,12:35:00,80,17,1,0.0,100.0,7.0,100.0,Technical Issue
76,Birmingham New Street,Manchester Piccadilly,2024-03-03,11:15:00,12:35:00,80,10,1,100.0,100.0,19.0,100.0,Technical Issue
77,Birmingham New Street,Manchester Piccadilly,2024-03-04,11:15:00,12:35:00,80,28,1,0.0,100.0,7.0,100.0,Technical Issue
78,Birmingham New Street,Manchester Piccadilly,2024-03-10,11:15:00,12:35:00,80,34,2,50.0,50.0,15.0,100.0,Technical Issue
79,Birmingham New Street,Manchester Piccadilly,2024-03-11,11:15:00,12:35:00,80,15,1,0.0,0.0,11.0,100.0,Technical Issue
80,Birmingham New Street,Manchester Piccadilly,2024-03-12,11:15:00,12:35:00,80,18,1,0.0,100.0,7.0,100.0,Technical Issue
81,Birmingham New Street,Manchester Piccadilly,2024-03-13,11:15:00,12:35:00,80,8,2,0.0,50.0,9.0,100.0,Technical Issue
82,Birmingham New Street,Manchester Piccadilly,2024-03-14,11:15:00,12:35:00,80,37,6,16.7,66.7,10.3,100.0,Technical Issue
83,Birmingham New Street,Manchester Piccadilly,2024-03-15,11:15:00,12:35:00,80,25,1,100.0,0.0,29.0,100.0,Technical Issue
84,Birmingham New Street,Manchester Piccadilly,2024-03-16,11:15:00,12:35:00,80,8,1,0.0,100.0,7.0,100.0,Technical Issue
85,Birmingham New Street,Manchester Piccadilly,2024-03-17,11:15:00,12:35:00,80,41,3,0.0,33.3,9.7,100.0,Technical Issue
86,Birmingham New Street,Manchester Piccadilly,2024-03-20,11:15:00,12:35:00,80,34,1,100.0,100.0,19.0,100.0,Technical Issue
87,Birmingham New Street,Manchester Piccadilly,2024-03-21,11:15:00,12:35:00,80,45,1,0.0,100.0,7.0,100.0,Technical Issue
88,Birmingham New Street,Manchester Piccadilly,2024-03-23,11:15:00,12:35:00,80,42,2,0.0,50.0,9.0,100.0,Technical Issue
89,Birmingham New Street,Manchester Piccadilly,2024-03-24,11:15:00,12:35:00,80,4,1,0.0,0.0,11.0,100.0,Technical Issue
